id,query,reply,reply_sort,label,query_cut,reply_cut
0,采荷一小是分校吧,杭州市采荷第一小学钱江苑校区，杭州市钱江新城实验学校。,0,1,采荷 一小 是 分校 吧,杭州市 采荷 第一 小学 钱江苑 校区 ， 杭州市 钱江 新城 实验学校 。
0,采荷一小是分校吧,是的,1,0,采荷 一小 是 分校 吧,是 的
0,采荷一小是分校吧,这是5楼,2,0,采荷 一小 是 分校 吧,这是 5 楼
1,毛坯吗？,因为公积金贷款贷的少,0,0,毛坯 吗 ？,因为 公积金 贷款 贷 的 少
1,毛坯吗？,是呢,1,0,毛坯 吗 ？,是 呢
1,毛坯吗？,这套一楼带院的，您看看,2,0,毛坯 吗 ？,这套 一楼 带院 的 ， 您 看看
1,毛坯吗？,房本都是五年外的,3,0,毛坯 吗 ？,房本 都 是 五年 外 的
1,毛坯吗？,好的??，您先看下,4,0,毛坯 吗 ？,好 的 ? ? ， 您 先 看 下
2,你们的佣金费大约是多少和契税是多少。,您是首套还是二套呢？,0,0,你们 的 佣金 费 大约 是 多少 和 契税 是 多少 。,您 是 首套 还是 二套 呢 ？
2,你们的佣金费大约是多少和契税是多少。,所有费用下来654万,1,1,你们 的 佣金 费 大约 是 多少 和 契税 是 多少 。,所有 费用 下来 654 万
2,你们的佣金费大约是多少和契税是多少。,包含着税费和我们的服务费和房款,2,1,你们 的 佣金 费 大约 是 多少 和 契税 是 多少 。,包含 着 税费 和 我们 的 服务费 和 房款
2,你们的佣金费大约是多少和契税是多少。,好的,3,0,你们 的 佣金 费 大约 是 多少 和 契税 是 多少 。,好 的
2,你们的佣金费大约是多少和契税是多少。,链家天鸿美域店NAME，电话是PHONE（同微信号），随时联系?,4,0,你们 的 佣金 费 大约 是 多少 和 契税 是 多少 。,链家 天鸿美域 店 NAME ， 电话 是 PHONE （ 同微 信号 ） ， 随时 联系 ?
3,靠近川沙路嘛？,正常银行贷款，可以自己还的,0,0,靠近 川沙 路 嘛 ？,正常 银行贷款 ， 可以 自己 还 的
3,靠近川沙路嘛？,有一点靠近川沙路,1,1,靠近 川沙 路 嘛 ？,有 一点 靠近 川沙 路
3,靠近川沙路嘛？,只有那一套毛坯的不靠近川沙路,2,0,靠近 川沙 路 嘛 ？,只有 那 一套 毛坯 的 不 靠近 川沙 路
4,这套房源价格还有优惠空间吗？,有,0,1,这 套房 源 价格 还有 优惠 空间 吗 ？,有
